,Ratings,Full_review
10,4,Okay so ive been using this laptop since a few days/weeks now and i really like it 1. The display is good 2. The Laptop runs smoothly 3. Upgradable which is a big pro 4. Great sound quality 5. beautiful build 6. Games work nicely Cons 1. A little bit slow but that can be upgraded using a ram and ssd 2. I play fortnite and rocket league on it and they run smoothly but sometimes theres a frame drop which again can be solved by ssd and ram  Overall i would really say this is a great laptop
11,5,This is my 2nd laptop and ti be true i like it preety much. The booting speed is good and can be more if you install ssd in it.  Overall look wise it's awesome 👌😍.  I played Apex legend in low graphic settings and it runs smoothly  The lappy can become a beast if you upgrade the ssd and ram ✌️ An additional of around 5k to 9k can be done to reach it's maximum potential. I'm happy with it 😊
12,3,"U'll need some upgrades  Ram needs to be extended, out of 8 gb some ram is always dedicated as shared memory for GPU, that is vega 8 (Not the main dedicated gpu).  Better to upgrade with a sdd at least for the os drive.  Not a beast for gaming but if upgraded can provide decent gaming experience. Don't expect good gaming or intense gpu performance on battery at this budget. Batteries for gaming laptop are not ment to provide you backup for long.  Got it at 44k, I think can't buy any thing bet..."
13,4,"The true potential of this thing is unleashed when it's plugged in. Don't even bother to game on this thing on battery only. Battery backup about 5 Hrs on normal uses like browsing, video streaming etc with both wifi and Bluetooth ON.  2GB out of the 8GB RAM is reserved for Vega 8 which is a real bummer. So another RAM of 8GB 2400 MHz is recommended at slot 2.  Pair it with an SSD ( ofcourse nvme recommend ) and feel the difference.  Be sure to download GeForce Experience.  Update all the dr..."
14,1,"Don't ever buy this laptop , the description says it's a gaming laptop but it can't handle games like gta 5 and goes into hibernation mode within 5 minutes of the game and out of the 8gb ram only 5.9 gb is available and performance is not that slick , hence would advise anyone looking to buy this , avoid it and spend extra and get yourself a better laptop"
15,5,"Good packaging, right on time, gorgeous design and lovely performance, best buy for beginners"
16,4,Nice product Battery mostly 4 to 5 hours But performance was very nice 4 star for late delivery otherwise product was very nice at this price Booting take normal time but its good in hdd Because sdd was fast comparable to hdd I think this is the drawback Company needs to modify ssd on this product
17,5,This review is after using this laptop for 6 months. Display:10/10 Performance:10/10 Battery:8/10 No heating issues No fan noise while normal usage Suggestions: 1.try to add extra 8 gb ram.because amd integrated graphic card uses 2gb of ram and available ram is only 6gb. 2.try to add 500gb ssd and move your os to ssd. Then you laptop enters into beast mode  Overall great laptop with amazing specs. Blindly go for it.
18,5,"This is an initial impression review. The battery life, display and design are above par. Gaming experience is terrific with a good, strong card inside. The issue might be the 2GB RAM reseved by RX Vega which is the inbuilt mobile gpu of Ryzen. All in all, a good package and a great value for money. My suggestion would be to install an ssd and an additional 8 GB RAM in the near future to get the most out of the product. Note : Disappointed by flipkart for not putting in bubble wrap in the pa..."
19,5,greate deal for the price to performance ratio. for gaming it is good but only one problem it heats up quickly so for better you should keep it on cool surface for gaming . Other things are exellent. 'I loved the experience
20,5,Product is excellent but battery is draining is lot faster than I expected but it is above average. Overall product is good and I think you also get what you paid for. I am happy with laptop.
21,1,"Sorry, after 2 months of buying now....I am thinking why I bought this laptop ....I recommend don't buy you can go with intel instead of ryzen ...I bought it for coding and designing purpose but yet I haven't installed such softwares ...still it is getting hang while watching yt on it ... just like our Android get if memory gets full ...and also some time sentence of some part getting on screen adruptly ....design and display of lappi is excellent but had performence ...."
22,4,Good product performance really awsome and powerful battery life...😇😇😍.. I like it very much
23,4,It is having a wonderful build design ? Build quality is really good Bcoz of not having ssd it's not that fast in opening files apps and softwares It doesn't gets too much heat Overall satisfied with the product
24,5,"Overall this is best buy in this price range. Only issue I found that it has 5.9 gigs of Usuable ram out of 8 gigs because of integrated amd graphics. It gives approximately 40 to 60 fps in high end games like watch dogs 2, gta v, Witcher 3 at high settings. Battery is decent, display quality is good....."
25,5,It is a bit slow.... If you want faster experience install ssd in it. It has SSD slot or you can go for SSD variant.Other than this all are woking good. I think this may not be a big problem. I loved it.... The gaming experience is so nice...overall performance is good..
26,5,Good Experience with this Product. For better more smoothness and for better experience upgrade add 256 GB SSD in it .
27,4,It's small...Design good...Clarity awesome....Performance is good after 1 week use...Battery charges fast and stands nearly 6 hours for normal use ...One minor problem when it's charging we can't use the mouse touch pad smoothly...It's jumping and lagging....Better use separate mouse like i do...Just cause 3 plays very smoothly...Only 6 gb ram we can use as a default... Over all its a good one ...
28,4,"The laptop in short is a beast.For peaple owning a laptop for the first time,it would be bliss.It has many flaws(with HDD).But for those who are willing to take care of their laptop,it will work like a charm. Overall,I would say just to go for it."
29,5,"I am writing these reviews after using 3 months of using this laptop.  Points: 1. RAM capacity is 8GB. If you want to enjoy gaming, atleast install 16GB RAM. 2. I played games like AC Valhalla, GTA 5, RDR 2, Days Gone, Witcher, AC Oddesey, watch dogs 2 and many more. At the highest graphics settings you can sense some lag, but good for mid range graphics. 3.Heating Issue: Yes, this can heat up a lot, but to mention gaming laptops use graphics so that is natural. To use the most out of laptop,..."
30,5,"I am using it for a day what i have noticed is it gets a little hot from the bottom right but it's manageable. The screen is beautiful, backlit keyboard makes it total worth the price. I bought it for 48,875 and it delivers really good specifications and quality. Overall it's a great product if you're getting it under 50k. If not then you should wait for some Flipkart sale."
31,4,Product is awesome I m fully satisfied with the product. Display quality is superb But the delivery experience was not so good took almost 15 days to deliver the product..
32,5,Performance was awesome .....it has Amd Rhyzen 5 3550H processor which has slightly lower base clock speed of 2.1 GHz but that works much better than Intel Core i5 9th gen and also neck to neck i5 10th gen....some said it was also better than i7 9th gen ....which I can even realise when it renders videos within minutes in DaVinci Resolve which is most renowned video editing software and heavy software in the industry...but that is only possible with an extra installation of M.2 Nvme SSD from...
33,5,"Excellent laptop for professional as well as gaming purpose. I am writing this review after 1 month of use. First when I got the product it was not the proper product as the OS was having some problem. But immediately hp service man have checked and cleared the problem. I am using this laptop for design purpose. I use to work with AutoCAD, CATIA, SOLIDWORKS, etc. These applications are running super smooth and speed in this laptop. However if you are using this kind of high end applications ..."
34,3,"One of the best budget gaming laptop loved it 😘. Smooth performance, good graphics card but it would have been better if there were other colors of RGB lights on the keyboards and u cannot change the color of the keyboard lights. But good laptop beast performance."
35,5,"Actually it's good ,no problem yet .just update your windows and it will became more fast. You can also add ssd and ram if you needed. Look wise it is great and battery charges very fast due to 150 watt charger.  Actually it's perfect if you add ssd and ram"
36,4,This Laptop has a HDD which is really slow at booting...i would recommend you to buy a M.2 NVME SSD for Faster boot time and great performance...and also add up an 8GB ddr4 RAM for great performance
37,5,"Pictures don't do justice.. Product is awesome and built quality is too good. Looks premium. Upgrade to ssd for most of this beast.. Display is awesome. Backlit is good. Purple is better than >>>red, white.. I have used many of them... Battery is 4 hours.. Overall it's a beast under 50k..  If u are getting it under 55k go for it..  Out of 8 gb ram 6 gb ram is what we get.."
38,4,Look perfect 💕 Display is nice Sound quality is superb 💕 Performance :- A little bit laggy... But if you upgrade with ssd then it gives you a good performance .. 5 day genuine review
39,4,"I bought this laptop for a balance routine like moderate gaming and normal work, and i have no complaints. The battery backup is really good of around 4hrs 30min to 5 hrs. The keyboard is well lit and you have no problem seeing the buttons even in dark room conditions. Ive been using this for 3 months now and I HAVE NO ISSUES with it. Do keep in mind that this comes with the TRIAL version of Microsoft Office and not the full version. It comes with McAfee antivirus which does a really good j..."
40,5,"I have been using this for a week now. Short answer, just go for it, the best non chinese laptop under this price segment. I brought it for 48k. I have seen most of the reviews saying performance is not great. First things first you have to plug in while you are gaming otherwise you won't be getting the peak performance or just set battery to best performance while you are not plugged in.  Boot time with HDD: Again I have seen many reviews saying it takes around 1 and half minute to boot ..."
41,5,It's awesome product.. it's completely fast working process and multi short cut touch and design its ultimate like this laptop . I lived it ... battery backup generally good. Once you completely charged ur working continues online 5hrs I think. As per price the product its better then other laptop.  But design its fibler related plastic. Otherwise the product have supper product I like it product.
42,4,"absolutely satisfied with the product. No ssd in this one but believe me it boots up in freaking 20 seconds. its just mind boggling. performance wise its descent handles my alll the tasks like a charm and it has got a good cooling system as well. fan not so loud so . if u r having a strict budget around 52k just go for this, spending little more and getting a hexa core proccesor model 1021ax would be wiser though. go for it u wont be dissapointed.  Edit: if u buy this one here after do not uo..."
43,4,Overall This Laptop Is Great But Someone Who Want Something Perfect I inform You That For Ame Lovers Its gReat thing as 4gb graphics and 8 gb ram is spectacular on the other hand battery drains quickly when you play games its important to plug in charger while playing  Screen size is small compare to others but its budget friendly so no offense  Need ssd for the fast startup and game lags due to it when power supply is not connected  I lost my battery sign on the taskbar so if anyone know how...
44,5,"Very Good Packaging. Product safely kept. Received the product in good condition. Clean Stuff. Only problem is the RAM, 6GB is only usable out of 8GB"
45,4,Best at this price range only compromising thing is its ram but 6 gb ram also handle many AAA titles with ease but you may notice some of very high end titles sttuter like GTA 5 because of ram if you upgrade your ram to 12 gb or 16 gb then you will get the real performance of this lappy ....no frame drops after upgrading and handle 70% new games with 60fps ij high setting .....
46,4,"Ok, so I have a lot to say. First of all, I ordered this laptop for my sister on 7th Nov. My father purchased it and it was fast delivered. Coming to packaging. Flipkart terrible packaging from the outermost. When we first unboxed it the hp package was perfect in condition. The laptop was fresh as anticipated. It was perfectly sealed. Ok now coming to the product. I'll say it directly. Pros Display-15.6 perfect if you want a big screen and got bored of a 14 inch one Processor-a ryzen 5 3550h..."
47,4,The product is best at this price ... The only con is it is a little bit slow because of hdd but can be corrected with 256 gb ssd ... So that will not be a big problem... Charging is very fast and battery life in normal usage is 4hours.... Overall good laptop
48,5,"Great gaming laptop in affordable price... Must buy for gaming lovers and content creators..   Pros: 1. Display is crisp and smooth 2. Processor 3. Upgradable with SSD upto 1tb and ram upto 32 gb  Cons: 1. Stock HDD is slow and it takes pc to start upto 3-4mins.(once I upgraded with WD SSD and copied the OS from HDD to SSD by WD disk cloning app, this problem cleared and takes me to windows within 10 seconds) 2. Games like GTA V can be played only when the laptop is connected to charger. Wh..."
49,4,"I bought this laptop 7 days back and according to my, this laptop is pretty good .let me first talk about the design, so the design of this product very good and the performance of the battery is also nice but I don't like the keyboard because of the LED light you will not able to see the letters present on the keyboard and the final one is speed. In my case, the laptop speed is a little slow. If you add SSD then it will become more fast. so then thank you for reading my review."
50,3,"The design and the user experience is best in class. But, it is quite slow. Even simple activities take longer time to respond. Also, would have been great if it had a Touch screen instead of a regular screen. Overall, I am happy except for these issues."
51,5,"Its been 2 weeks I am using the laptop, upgraded with 8 GB more RAM and it works like a charm, all the AAA titles of game runs smoothly on it - The game you name it and this beast will play it like charm, overall a great choice for official use also - For Work from home. To unlock the beast do upgrade with 8 GB ram and 240 GB SSD and it will run faster than any other laptop in this price range. Great value for money, Looks are awesome. Great choice."
52,5,One of tha Best laptop for Gaming and also for office work  Pros... Best performance Best display Best Sound Best design Best battery backup Beautiful backlit keyboard Trust of HP service  Put ssd and increase ram yourself.. Then this laptop will be Beast performance.  Cons.... Average webcam Boot time max 30sec... Only 5.9gb Ram available
53,5,pretty cool design the performance is really good the battery performance is good and it really charge very fast comparing to another laptops if you are seeing a laptop under 55k you can go for it
54,5,Amazing Laptop Loved it I upgraded the 256gb Western Digital Nvme SSD into it which make it's performance next level Booting time reduced from 40 seconds to 18 seconds. Recommended to install ssd to get real performance
55,5,I ordered this laptop a month ago and I really love it So this review is for those who aren't sure if it's worth it well to be honest it has a average battery in terms of me rating it But it is really fast and the screen is really good Design wise and performance is really good It comes with a ryzen 5 processor and gtx 1650 Graphics card Which is really great Especially for gaming U can play fortnite above 60 fps and 120 fps with no problem Go for it it's really worth it The only is...
56,5,Very nice laptop for students and office work better that Asus and Acer We can play game at High settings to get 60fps Battery is very nice and laptop charges in 30-60 min Display is fantastic
57,4,"Review after 3 months !! If you really want a good display laptop,just go for it. screen display is awesome than asus vivobook and mi notebook. If you want a performance and speed then you really need SSD. without that it is average. Just normal gaming and takes a bit second to open apps and games. Bit SSD will make it a beast !! Overall m happy with the beast 🔥 no other laptop has such feature in this range. 1. Display 5/5 2. Performance 4/5 (bcoz of hdd) 3. Speaker 4/5 (it's decent) 4. L..."
58,5,Laptop is good in terms of performance and gaming. Good display n processor for the price. Only con is less ram as integrated vega gfx eats 2gb so u get only 6gb. An additional 8/16gb ram can solve the problem. Rest everything is working fine.
59,4,"This is a good laptop.I played farcry 3,farcry 4 without SSD or ram upgrade.But BlueStacks lags.If you are a freefire player you can play lag free in smooth only.Charge don't last long.For gaming 10min it drops more than 20%.With charged only u get smooth fps.If u upgrade ram and SSD it may be good."
60,4,I write this review after using 10 days Design of laptop is excellent Especially display I loved it Battery is disappointing me Except battery all else fine If you are student then go for it Overall this is my first laptop so I love it One more thing performance is bit slow due to hdd If you want to play gt5 then you add ssd this boot your performance
61,4,"This is a decent gaming laptop, not recommended for high end gamers. However for casual gamers it's a nice option and performance is also good."
62,4,"The System is quite good in terms of processing power. The only problem is HDD, it takes ages to load anything. Be it booting or starting any heavy app. It takes a lot of time to run apps and to boot up. The same problem is true for most laptops with HDD as primary storage.  To overcome the long wait in boot time. I use the hibernate option provided by windows instead of shutdown. Hibernate keeps all your apps running and cuts of the power to the system. So the next time you turn it on, it's ..."
63,4,"Display and design are great hdd is slow i updated this ssd its very fast and battery is average but 150watt charges charges very quick, gaming performance while charger plugged is seamless i got it for RS.49240/- perfect deal im happy with it."
64,5,Awsome laptop. Only battery backup is a little lower but charges faster and windows 10 is genuine it is still awsome laptop.
65,4,"-Laptop looks great. -Display is awesome. -Those backlits are awesome man. We feel like watching the backlits turn-on the whole day. -Battery is below average to be frank. I get hardly 2:30 hrs backup. -Speakers are good, but not the best in this price rang e and especially when they mention B & Bo audio system, I expected more from it. -As it has only HDD, it's not that fast, it gets stuck at times but still manageable. -Graphics is good. I played Asphalt 9 legends.  Verdict: Go for it!👍"
66,2,"This review is after using for 1 week after installing all the updates and updating BIOS. This is a mediocre laptop. It just gets the work done. If you are purchasing this laptop, better get the SSD version or better get a SSD and upgrade RAM. The HDD version is really slow to boot up and takes 2-3 minutes after startup to function without stuttering. The initial 2-3 minutes after startup is really painful to use. My 2012 Dell laptop with HDD boots faster and can get to functioning properly ..."
67,5,"It is just awesome laptop good design, excellent display,nice graphics It is an awesome product I just loved it"
68,4,"I am satisfied with it at this price.Smooth performance even without ssd , backlight is just awesome I loved it.this is best for overall performance wheather you want to play game ,do editing , everything you can do smoothly.must buy it."
69,5,Awesome Product. Really fast and reliable. Haven't played any games yet but it pretty solid with multi tasking. Takes some time to start up the first time but then later its fine. I preferred Ryzen 5 over intel because of performance and it truly delivers that performance.
70,4,I bought this laptop far a week now.. it was soo cool and amazing performance for this price range.The only issue is with the booting time gets more time because of no ssd.. and the battery is pretty good for my usage..and for great performance there is a M.2 sad slot you can easy add ssd and run os on that ssd it will boot fast and fast processing 🔥.. Overall the laptop is beast because of Nividia GTX 1650 graphics 🔥🔥..go for it don't hesitate to buy it's a beast for this price range and...
71,3,"Battery is pathetic, like I was getting free electricity in Delhi due to limited consumption, but this laptop sure gonna hike my electricity usage.  Laptop lags a bit , atleast 128 GB SSD should be given , and yes ram needs to get upgraded too , in order to have good performance.  Rest okayish product. For average usage."
72,4,Overall I like the laptop and perferably perfer this one.  Pros: 1. Speaker quality is good 2. LED quality is good and great display 3. Keybord is nice 4. Battery back is nice upto 3 hours without games. 5. Laptop build quality is nice. 6. Cooling is very well. 7. Camera quality is quiet well. 8. Processor is at their best  Cons: 1. There should be an SSD in place of HDD ( In this price tag ). 2. There is lagging problem while playing games on battery mode.
73,5,"First thing first Do not rush for games, do windows updates first Updates will take time even after having a good internet connection. Once updates are done, it will completely turns into beast. Lot of people are complaining about the gaming performance, but believe me there is no problm after updating the system I had play NFS PAYBACK, CSGO in high setting and it works like a charm The impression of this is laptop is very nice, hp gives a really very good quality of ips display here I got t..."
74,5,"Ok, first of all this is gaming laptop, so if you are looking for gaming purpose then it's absolutely for you. Now Talking about battery performance then it's as usual like for all gaming laptops. Only thing is it doesn't come with MS office licence key. Overall laptop is worth it...💥 Have a nice day..."
75,5,In this price range this is better lappi and you can also option for upgrade your ram and also attached ssd for better performance but one demerit was processor 3350h if HP inbuilt 4600H processor this was AWESOME deal but over all performance was good . Display 5star Battery 5 star Processor 4star But if we attached SSD then speed and performance will increase but overall in this price range i will give 5 star after 20 days use ..
76,4,"I honestly say, This laptop From the HP brand which gives us the good after sales services is the best one if your budget is 49 to 50k. Performance i truly say its kind of have a slow boot time like a typical hp laptop but the graphics and processor is way powerful. The ryzen 5 is a desktop processor, so to run it, it needs power and good peripherals like Ram about 16Gb, and SSD. If u upgrade these two You will get the ultimate performance. Build quality, Speaker, Ports, Screen are top notch...."
77,5,Worth it guys go blindly for it but as its a gaming laptop battery backup is not nice but laptop design and other stuff are awesome
78,5,"Go for it , It is a budget friendly laptop with no issues.  You can upgrade in future :- 1)Ram (Upto - 32 GB,3200mhz)The information in product page is wrong. 2)SSD (NVMe)  Backlit keyboard is present at this cost only. The wifi is super fast also the bluetooth. The base speed of processor is 2.10ghz."
79,5,Best laptop for this type of specifications in this affordable price. And also good for Music quality.Display is good for quality videos . Performance is not so good.
80,5,"The only thing that I noticed is that it takes a little time to boot up. I have had used Lenovo before, beside being old it boots even taster than HP. Other than this I like all about it, when it gets little hot the two fans kicks in which makes me feel that I have a powerful machine. If you have more budget, then I would suggest you to go for Asus ROG. Which is too of the line product."
81,5,Good laptop with quite good display and features. Performance wise the processing is little slower than expected. Good buy at this price. Games run with good speed and efficiency.
82,4,This is best laptop for students. I really like keyboard and disin. Startup almost 10s. But super and amazing. Perfomance is specialy amazing. I konw ryzen is best than in intel.still i satisfied this product 😍
83,5,"This is my first higher price product that I bought from Flipkart. The seller was PETILANTE ONLINE. I was very much satisfied with overall everything. I literally have zero complaints. The package and the delivery was all perfect and genuine. Coming to the laptop, it's the BEST machine if you're looking for a great gaming and also for other miscellaneous purposes. I never thought that online shopping would be a bliss. Thank you, Flipkart."
84,4,I am writing this review almost a month After I have started using the product. As per the price it is an Ok quality of product. You can expect this quality of product for a range of 50k to 55k. I have got it on 48k inclusive of offers. Pros : 1.Got a very productive and effecient build quality. 2. Backlight Keyboard 3. Great 15.6 Inch Display. 4. Graphics card and Support 5. Rygen 5 Performance is great.  Cons : 1. No Microsoft life usability. It will ask you a license key. 2. Battery lif...
85,4,"this laptop needs some extra ram to be installed after purchasing as it is slow in many ways and if possible have some budget after buying it to upgrade it with a ssd and ram then it is a beast. over all build quality is very good. the matte finish make it looks classy but at the same time attracts everything including dust, fingerprints so it needs some pampering. The keyboard backlit is very awesome and is eye catchy , sound is awesome, screen resolution is just best. battery is average jus..."
86,1,"Pathetic performance take ages to load the PC, had already replaced it once thought performance will be better in replaced version, it worked for a month now back to the same issue, booting takes a life to load? I also bought extended support with technician visit which does not work they want us to do all sorts of check by us before a technician visit can be arranged so pathetic support system. I won't recommend HP hardware."
87,1,"Flipkart and hp, I'm really disappointed in both you with this slow lagging machine. I have seen so many videos that told me that this machine is a very good option but even after spending 55k rupees in this dabba. I'm not even able to use Chrome on it. It's that slow. Yes, not even Chrome. HP people are you sure, you are one of the best companies. You have made this lagging box, just so i can regret trusting you again. I thought maybe 55k is enough for me to get a decent laptop for daily use..."
88,4,"Its takes a several minutes when its starting for first time. but after that it runs smoothly. Also the specification of RAM given here is 8 gb, yes its true.. but for daily(normal usage) you can use only 6 gb. Rest 2 gb is reserved. The best thing is The display and trackpad.  the thing which I didn't liked is that, it only has 2 usb ports which sometimes feels short when multiple devices needs to be connected."
89,5,Good trending budget gaming configuration. HP has hit a jackpot in this category and it’s sales have seen a huge demand for the price point... more than Omen series. Can use it for Design softwares as well as heavy Gaming... serves well for both. AMD Ryzen series of processors wont disappoint you... trust me!
90,5,The laptop is just a beast. I loved the design of the laptop the speakers and the keys are the top quality. The battery of the laptop last well for normal usage for like 6 to 7 hours. I received the latest hp pavilion model the wifi is the best and it can connect to a wifi and a ethernet cable together at the same time you can enable this feature from the omen command center you can download it for free from the microsoft store the laptop performance is also good i am using this from last 10 ...
91,3,"So I waited a LONG time to write this review. I have been using this laptop for about 10 months now and I feel that it is pretty good. It smoothly runs almost every game, and it is great for coding. I use it for literally everything, and it is a great experience. However, using this thing in the first 2 months or so was like the biggest disappointment. It was slow as hell, games did not run properly, and the boot took forever (still takes a bit of time). I contacted HP Support multiple times ..."
92,4,Nice and best product as per specification but only battery backup is needed and i will suggest tjat if you are buying this product then please insert an SSD for smooth and better experience in it.
93,5,Highly Satisfied and value for money Laptop   7 months since I purchased this laptop and it works perfectly . Boot time was more since it has only HDD but when i installed SSD everything is just matter of seconds . Also upgraded Ram to 16 GB only I confirmed with HP service executive that the laptop Ram can be expanded to 32GB.   I suggest to confirm the Ram capacity with HP service center before upgrading the Ram
94,4,I using this laptop from three months. Autocad software are not running smooth. There are lagging problem for heavy autocad work so for autocad or 3 d software this laptop is avarage
95,3,"My initial product had to be replaced because of various issues, I believe I have recieved a product that was returned by someone else.  It was damn slow and plastic felt very cheap, like for example, when you lift the laptop, you hear cracking noise throughout.  2 laptop;  First thing I did to uninstall the trail version antivirus as that made the laptop too slow. Second, updated windows and drivers.  Performance is ok and I'm not rating good because, the load time is very high but once wha..."
96,4,For Gaming Its Performance Is Fab .... But I don't Why it sometimes Lag In Carrying Out Normal Work (that can be due to HDD) Design Looks Unique 🥰 Speakers are also Good & Overall A Very Good Choice For those... Who have Dreams of Playing Some High Level Games... In Low Budget Laptops😊😊
97,5,If you are go for a decent laptop then I should recommended this as described there is a huge and most of the amount of power that can be delivered by a AMD ryzen 5 3500H processor can be processed and there is a huge lot of processing power and many more decent display decent power backup for 4.5 or and a decent multitasking and full HD display which can be a great pleasure for who can do Photoshop and title gamer why most of us for follow by HDD that can be slow your laptop so you can be go...
98,5,There is 1 slot available u can upgrade ur ram and boost your performance i buyed 8gb hyper ram and boom its amazing u can stay with its 8gab ram no prblm laptop is tooo good
99,3,Battery performance is very awful...only 2 hours battery backup which is very irritating you have to charge it on every 2 hours which might be very disturbing for all of us and the performance is not so great ....apps like even simple apps take 5 min of time to open which is also very irritating and PC needs different types of updates time to time and it take 5 to 10 kin of time to open. Processor is good and graphic card and when you use PC for 4 to 5 hours it heats up like a very hot cooker...
100,5,"After upgrading the ram to 16 gb... All games for this specification works fine. I played few games including pubg pc, warzone, gta v , wolfenstein young blood, gears 5 .. all of them work great in this laptop"
101,5,Great laptop especially fans for cooling. Add another 8 gb of ram and an SSD and then it'll skyrocket like no other. Fans do their work exceptionally well as the most important job of a gaming pc is cooling the system. Which is performed best in this price bracket.
102,5,"Boot time is a little slow but other than that I have know complains. Solid build quality, great screen, good speakers, respectable battery life, bang for the buck gaming performance. Overall very satisfied"
103,5,Excellent product super value for money I mean this is a all rounder though u get gtx 1650 ti in competition but then is jus about 5 % gap go with this upgrade ram and ssd and good to go
104,5,excellent laptop with amazing looks and good price range. Just add a SSD to it and it's super fast.
105,4,"The hp pavilion gaming ryzen 5 laptop is a great option for a mix between business and gaming laptop. It has great design,good sound, great display.good battery and processor. The only downside is it doesn't come with a SSD which is a must for this laptop. It's a little slow without the SSD but since I had the SSD installed it's very fast. All in all a good buy at this price. Add 5k for SSD 500gb"
106,4,Design of the laptop is very good . Performance not that good because some high spec games like GTA 5 are lagging . Need to install a ssd and a 8 GB ram additional. But I think this is the best laptop in this price range as it offers Nvidia gtx 1650 . And also battery backup is also just ok not good .
107,3,I have been using this product for the last 10 days. So let me share my experience here.  -Its packing was great  -It has a decent screen.  -The backlight keyboard with violet color makes it quite attractive.  -speaker sound is good  -Battery backup is okay (even after using normal applications. Don't know if u play heavy games!!)  -webcam is great.  -this laptop is a bit slower & its booting time is more which makes it look like its lagging. It should be more faster as it has an AMD Ryzen 5 ...
108,2,Startup is very long  Battery is not good  Working speed also no good .  This is the worst experience in laptops I ever used .  I didn't use first 15 days due to some person reasons now till then my return period is over .  Please I strongly recommend don't buy this laptop
109,5,At this prize Intel is giving best laptops. But for 50k ryzen 5 3550h quad core is less At the prize of 45k other laptop is giving ryzen 5 hexa core
110,4,1)i liked it very much because of its design fabulus 2)dispaly was good and bright &veuvienig angles were also good at that price range 3)performace was excelent and it also come with 4gb nvidia gtx 1650 grafix card which can handle the heavy games &softwares easily 4)booting time is little bit late when compare with SSD laptop because it comes only with HDD the good thing is we can easily upgrade the storage with help of SSD up to 1TB 5)we can also upgrade RAM upto 16 gb and it comes with 8...
111,4,"The Product is Good Not Best. There are 2 Problems here, One with Ram and One with HDD. Well Ram issue is not the big issue Here, Games are still Playable. For Those who don't Know out of 8 Gb 2.1 GB of Ram is totally occupied by The Vram of the Cpu, So u are left with 5.88 GB of Ram. Now The game still runs like GTA 5.  But The Issue comes with HDD being 5400 Rpm its less. Its Pc performance degrades. You will see windows starting little late, application taking time to open. Also GTA 5 st..."
112,5,Very nice product must buy !!!!! *Performance is very nice.. *Battery backup up to 90min for gaming otherwise for small works 3-4hrs *Audio quality is good but not so loud. * Display also good even we can use in sunlight Over all nice product must by this.
